hcp_id,name,specialty,practice_type,territory,patient_volume,years_in_practice,academic_affiliation,preferred_contact_method,tier
HCP001,Dr. B. Smith 1,Oncology,Hospital,Midwest,175,15,True,In-Person,A
HCP002,Dr. C. Smith 2,Rheumatology,Hospital,West,266,3,True,Email,A
HCP003,Dr. D. Smith 3,Cardiology,Hospital,West,151,35,False,Email,B
HCP004,Dr. E. Smith 4,Rheumatology,Academic Medical Center,Northeast,438,11,False,Phone,B
HCP005,Dr. F. Smith 5,Cardiology,Private Practice,Midwest,102,6,False,Email,B
HCP006,Dr. G. Smith 6,Neurology,Academic Medical Center,Northeast,423,30,True,Phone,A
HCP007,Dr. H. Smith 7,Rheumatology,Academic Medical Center,West,491,24,True,In-Person,A
HCP008,Dr. I. Smith 8,Oncology,Private Practice,Midwest,90,15,True,Phone,B
HCP009,Dr. J. Smith 9,Immunology,Academic Medical Center,Southeast,239,23,True,In-Person,B
HCP010,Dr. K. Smith 10,Oncology,Private Practice,West,423,16,True,Phone,B
HCP011,Dr. L. Smith 11,Neurology,Private Practice,Midwest,481,4,True,Email,B
HCP012,Dr. M. Smith 12,Immunology,Academic Medical Center,Northeast,158,21,True,In-Person,B
HCP013,Dr. N. Smith 13,Immunology,Clinic,Southeast,185,9,True,In-Person,C
HCP014,Dr. O. Smith 14,Rheumatology,Academic Medical Center,West,269,26,False,Email,A
HCP015,Dr. P. Smith 15,Rheumatology,Clinic,Northeast,436,4,True,Email,C
HCP016,Dr. Q. Smith 16,Cardiology,Clinic,West,82,25,False,In-Person,B
HCP017,Dr. R. Smith 17,Rheumatology,Academic Medical Center,West,490,1,True,In-Person,C
HCP018,Dr. S. Smith 18,Neurology,Academic Medical Center,Northeast,200,28,True,Phone,A
HCP019,Dr. T. Smith 19,Neurology,Private Practice,West,104,20,True,Email,B
HCP020,Dr. U. Smith 20,Cardiology,Hospital,West,215,32,True,Email,B
HCP021,Dr. V. Smith 21,Neurology,Private Practice,Northeast,173,6,True,In-Person,B
HCP022,Dr. W. Smith 22,Oncology,Private Practice,Southeast,387,31,True,Phone,C
HCP023,Dr. X. Smith 23,Rheumatology,Clinic,Southeast,326,13,False,Phone,C
HCP024,Dr. Y. Smith 24,Neurology,Clinic,West,281,8,True,Email,A
HCP025,Dr. Z. Smith 25,Neurology,Hospital,West,333,15,True,Email,A
HCP026,Dr. A. Smith 26,Oncology,Private Practice,Northeast,66,22,True,In-Person,A
HCP027,Dr. B. Smith 27,Neurology,Clinic,Southeast,326,9,False,Email,B
HCP028,Dr. C. Smith 28,Immunology,Private Practice,Northeast,99,28,False,Phone,B
HCP029,Dr. D. Smith 29,Immunology,Hospital,Northeast,81,26,False,Email,A
HCP030,Dr. E. Smith 30,Cardiology,Private Practice,West,279,9,False,Email,B
HCP031,Dr. F. Smith 31,Immunology,Private Practice,Northeast,276,7,True,In-Person,C
HCP032,Dr. G. Smith 32,Oncology,Hospital,Southeast,135,27,False,Phone,A
HCP033,Dr. H. Smith 33,Immunology,Hospital,Southeast,244,1,False,Phone,B
HCP034,Dr. I. Smith 34,Neurology,Clinic,West,388,32,True,Email,B
HCP035,Dr. J. Smith 35,Cardiology,Hospital,West,426,35,True,In-Person,B
HCP036,Dr. K. Smith 36,Oncology,Hospital,West,294,33,True,Email,C
HCP037,Dr. L. Smith 37,Oncology,Private Practice,Northeast,354,5,True,Phone,A
HCP038,Dr. M. Smith 38,Rheumatology,Private Practice,West,354,3,True,Phone,C
HCP039,Dr. N. Smith 39,Rheumatology,Academic Medical Center,Midwest,154,21,True,Phone,B
HCP040,Dr. O. Smith 40,Cardiology,Academic Medical Center,Southwest,211,5,True,Phone,C
HCP041,Dr. P. Smith 41,Rheumatology,Hospital,Northeast,325,14,False,Email,B
HCP042,Dr. Q. Smith 42,Oncology,Private Practice,Midwest,195,11,False,In-Person,C
HCP043,Dr. R. Smith 43,Neurology,Hospital,West,203,7,True,Phone,A
HCP044,Dr. S. Smith 44,Oncology,Private Practice,Midwest,194,14,False,Email,C
HCP045,Dr. T. Smith 45,Neurology,Clinic,Midwest,483,4,True,In-Person,B
HCP046,Dr. U. Smith 46,Neurology,Hospital,Northeast,220,9,False,Email,C
HCP047,Dr. V. Smith 47,Immunology,Clinic,West,54,8,True,In-Person,A
HCP048,Dr. W. Smith 48,Rheumatology,Hospital,Midwest,348,10,False,Email,A
HCP049,Dr. X. Smith 49,Neurology,Academic Medical Center,Northeast,233,14,True,In-Person,A
HCP050,Dr. Y. Smith 50,Neurology,Clinic,West,433,10,True,Email,A
HCP051,Dr. Z. Smith 51,Immunology,Hospital,Southeast,427,22,False,In-Person,C
